ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI
"599149","A Framework for Evidence Synthesis Programs to Respond to a Pandemic.","Murad, M Hassan; Nayfeh, Tarek; Urtecho Suarez, Meritxell; Seisa, Mohamed O; Abd-Rabu, Rami; Farah, Magdoleen Hassan Eltayeb; Firwana, Mohammed; Hasan, Bashar; Jawaid, Tabinda; Shah, Sahrish; Torres Roldan, Victor; Prokop, Larry; Wang, Zhen; Saadi, Samer Mohir","Mayo Clin Proc;2020 Jun 16. ","Mayo clin. proc","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1016/j.mayocp.2020.05.009","The coronavirus disease 2019 (COVID-19) pandemic requires making rapid decisions based on sparse and rapidly changing evidence. Evidence synthesis programs conduct systematic reviews for guideline developers, health systems clinicians, and decision-makers that usually take an average 6 to 8 months to complete. We present a framework for evidence synthesis programs to respond to pandemics that has proven feasible and practical during the COVID-19 response in a large multistate health system employing more than 78,000 people. The framework includes four components: an approach for conducting rapid reviews, a repository of rapid reviews, a registry for all original studies about COVID-19, and twice-weekly prioritized update of new evidence sent to key stakeholders. As COVID-19 will not be our last pandemic, we share the details of this framework to allow replication in other institutions and re-implementation in future pandemics.",20200617,,, 
"599043","Ethics and governance for digital disease surveillance.","Mello, Michelle M; Wang, C Jason","Science;368(6494): 951-954, 2020 May 29. ","Science","MEDLINE","article","en","2020","Artificial Intelligence/ethics; Coronavirus Infections/epidemiology; Epidemiological Monitoring; Pneumonia, Viral/epidemiology; Confidentiality/ethics; Datasets as Topic; Forecasting; Humans; Machine Learning; Pandemics","US","https://dx.doi.org/10.1126/science.abb9045","",20200617,368,6494, 
"32522738","Community health workers for pandemic response: a rapid evidence synthesis.","Bhaumik, Soumyadeep; Moola, Sandeep; Tyagi, Jyoti; Nambiar, Devaki; Kakoti, Misimi","BMJ Glob Health;5(6)2020 06. ","","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1136/bmjgh-2020-002769","INTRODUCTION: Coronavirus disease (COVID-19), affects 213 countries or territories globally. We received a request from National Health Systems Resource Centre, a public agency in India, to conduct rapid evidence synthesis (RES) on community health workers (CHWs) for COVID-19 prevention and control in 3 days. METHODS: We searched PubMed, websites of ministries (n=3), public agencies (n=6), multilateral institutions (n=3), COVID-19 resource aggregators (n=5) and preprints (n=1) (without language restrictions) for articles on CHWs in pandemics. Two reviewers screened the records independently with a third reviewer resolving disagreements. One reviewer extracted data with another reviewer cross-checking it. A framework on CHW performance in primary healthcare not specific to pandemic was used to guide data extraction and narrative analysis. RESULTS: We retrieved 211 records and finally included 36 articles. Most of the evidence was from low-and middle-income countries with well-established CHW programmes. Evidence from CHW programmes initiated during pandemics and for CHW involvement in pandemic response in high-income countries was scant. CHW roles and tasks change substantially during pandemics. Clear guidance, training for changed roles and definition of what constitutes essential activities (ie, those that must to be sustained) is required. Most common additional activities during pandemics were community awareness, engagement and sensitisation (including for countering stigma) and contact tracing. CHWs were reported to be involved in all aspects of contact tracing - this was reported to affect routine service delivery. CHWs have often been stigmatised or been socially ostracised during pandemics. Providing PPE, housing allowance, equal training opportunities, transportation allowance, improving salaries (paid on time and for a broad range of services) and awards in high-profile public events contributed to better recruitment and retention. We also created inventories of resources with guiding notes on guidelines for health workers (n=24), self-isolation in the community (n=10) and information, education and counselling materials on COVID-19 (n=16). CONCLUSIONS: CHWs play a critical role in pandemics. It is important to ensure role clarity, training, supportive supervision, as well as their work satisfaction, health and well-being. More implementation research on CHWs in pandemics is required.",20200615,5,6, 
"589107","Successful prevention and screening strategies for COVID-19: focus on patients with haematologic diseases.","Cho, Sung-Yeon; Park, Sung-Soo; Lee, Ji-Young; Kim, Hee-Je; Kim, Yoo-Jin; Min, Chang-Ki; Cho, Bin; Lee, Dong-Gun; Kim, Dong-Wook","Br J Haematol;2020 May 18. ","Br. j. haematol","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1111/bjh.16818","",20200610,,, 
"548765","Need for innovative and timely synthesis of evidence during Covid-19 outbreak.","Romiti, Giulio Francesco; Corica, Bernadette; Cangemi, Roberto; Basili, Stefania; Raparelli, Valeria","Eur J Intern Med;2020 Jun 07. ","Eur. j. intern. med","MEDLINE","article","en","2020","","NL","https://dx.doi.org/10.1016/j.ejim.2020.06.007","",20200608,,, 
"526015","Epidemiology of Coronavirus Disease in Gansu Province, China, 2020.","Fan, Jingchun; Liu, Xiaodong; Pan, Weimin; Douglas, Mark W; Bao, Shisan","Emerg Infect Dis;26(6): 1257-1265, 2020 06. ","Emerg Infect Dis","MEDLINE","article","en","2020","Coronavirus Infections/epidemiology; Pneumonia, Viral/epidemiology; Adolescent; Adult; Aged; Aged, 80 and over; Betacoronavirus; Child; Child, Preschool; China/epidemiology; Female; Geographic Information Systems; Hospitalization; Humans; Infant; Male; Middle Aged; Pandemics; Spatial Analysis; Time Factors; Young Adult","US","https://dx.doi.org/10.3201/eid2606.200251","To determine the epidemiology of coronavirus disease (COVID-19) in a remote region of China, far from Wuhan, we analyzed the epidemiology of COVID-19 in Gansu Province. From January 23 through February 3, 2020, a total of 35 (64.8%) of 54 reported cases were imported from COVID-19-epidemic areas. Characteristics that differed significantly during the first and second waves of illness in Gansu Province were mean patient age, occupation, having visited epidemic areas, and mode of transportation. Time from infection to illness onset for family clusters was shorter in Gansu Province than in Wuhan, consistent with shortened durations from onset to first medical visit or hospitalization. Spatial distribution pattern analysis indicated hot spots and spatial outliers in Gansu Province. As a result of adequate interventions, transmission of the COVID-19 virus in Gansu Province is decreasing.",20200605,26,6, 
"438396","Computational screening of antagonists against the SARS-CoV-2 (COVID-19) coronavirus by molecular docking.","Yu, Ran; Chen, Liang; Lan, Rong; Shen, Rong; Li, Peng","Int J Antimicrob Agents;: 106012, 2020 May 08. ","Int J Antimicrob Agents","MEDLINE","article","en","2020","","NL","https://dx.doi.org/10.1016/j.ijantimicag.2020.106012","In the current spread of novel coronavirus (SARS-CoV-2), antiviral drug discovery is of great importance. AutoDock Vina was used to screen potential drugs by molecular docking with the structural protein and non-structural protein sites of new coronavirus. Ribavirin, a common antiviral drug, remdesivir, chloroquine and luteolin were studied. Honeysuckle is generally believed to have antiviral effects in traditional Chinese medicine. In this study, luteolin (the main flavonoid in honeysuckle) was found to bind with a high affinity to the same sites of the main protease of SARS-CoV-2 as the control molecule. Chloroquine has been proved clinically effective and can bind to the main protease; this may be the antiviral mechanism of this drug. The study was restricted to molecular docking without validation by molecular dynamics simulations. Interactions with the main protease may play a key role in fighting against viruses. Luteolin is a potential antiviral molecule worthy of attention.",20200601,,, 
"438326","Screening all pregnant women admitted to labor and delivery for the virus responsible for coronavirus disease 2019.","Vintzileos, William S; Muscat, Jolene; Hoffmann, Eva; John, Nicole S; Vertichio, Rosanne; Vintzileos, Anthony M; Vo, Duc","Am J Obstet Gynecol;2020 Apr 26. ","Am. j. obstet. gynecol","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1016/j.ajog.2020.04.024","",20200601,,, 
"438161","Forgetting &quot;routine&quot; deep venous thrombosis and stroke during COVID-19 is a parallel pandemic that will be costly if ignored.","Rogers, Steven K; Hughes, Michael","J Vasc Surg;2020 Apr 30. ","J. vasc. surg","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1016/j.jvs.2020.04.486","",20200601,,, 
"437887","Optimizing screening strategies for coronavirus disease 2019: A study from Middle China.","Liu, Li; Hong, Xiuqin; Su, Xin; Chen, Haiou; Zhang, Dongcui; Tang, Shigang; Chen, Liang; Zhu, Baining; Li, Xiaosong; Shi, Yi","J Infect Public Health;13(6): 868-872, 2020 Jun. ","J Infect Public Health","MEDLINE","article","en","2020","Coronavirus Infections/diagnosis; Fever/virology; Pneumonia, Viral/diagnosis; Adolescent; Adult; Aged; Aged, 80 and over; Asymptomatic Infections/epidemiology; Betacoronavirus/isolation &amp;amp; purification; Child; China/epidemiology; Clinical Laboratory Techniques; Coronavirus Infections/epidemiology; Female; Humans; Male; Middle Aged; Outpatients/statistics &amp;amp; numerical data; Pandemics; Pneumonia, Viral/epidemiology; Real-Time Polymerase Chain Reaction; Retrospective Studies; Reverse Transcriptase Polymerase Chain Reaction; Young Adult","GB","https://dx.doi.org/10.1016/j.jiph.2020.05.003","BACKGROUND: Coronavirus disease 2019 (COVID-19) has been highly epidemic in China since January 2020. Rapid detection of the causative agent, severe acute respiratory coronavirus-2 (SARS-CoV-2), is very important due to its high rate of infectivity. This study aimed to clarify the epidemiology and clinical characteristics of COVID-19 outside of Hubei province, China, and to optimize screening strategies for COVID-19 in attempts to contain spread of the virus. METHODS: This retrospective study included all confirmed cases of COVID-19 in Hunan Provincial People&#039;s Hospital (Changsha, China) between January 22 and February 15, 2020. All cases were detected using a real-time reverse transcription polymerase chain reaction assay. The epidemiology and clinical characteristic of these cases were investigated according to outcome in attempts to optimize screening strategies for COVID-19. RESULTS: There were 24 confirmed cases of COVID-19 in the fever outpatient department of Hunan Provincial People&#039;s Hospital. Three patients were asymptomatic, and 3 exhibited mild and 3 moderate disease. There was a family cluster phenomenon. CONCLUSION: Individuals with COVID-19 can be asymptomatic or exhibit mild manifestations of disease. Close monitoring and an optimized screening strategy for COVID-19 could help deter spread of the virus.",20200601,13,6, 
"437069","An Asymptomatic Patient with COVID-19.","Zhang, Jingping; Du, Yonghao; Bai, Lu; Pu, Jiantao; Jin, Chenwang; Yang, Jian; Guo, Youmin","Am J Respir Crit Care Med;201(11): 1428-1429, 2020 06 01. ","Am J Respir Crit Care Med","MEDLINE","article","en","2020","Asymptomatic Infections; Coronavirus Infections/diagnostic imaging; Pneumonia, Viral/diagnostic imaging; Adult; Betacoronavirus; China; Female; Humans; Lung/diagnostic imaging; Pandemics; Tomography, X-Ray Computed","US","https://dx.doi.org/10.1164/rccm.202002-0241IM","",20200601,201,11, 
"400390","Cessation of cancer screening: An unseen cost of the COVID-19 pandemic?","Tan, Ker-Kan; Lau, Jerrald","Eur J Surg Oncol;2020 May 11. ","Eur. j. surg. oncol","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1016/j.ejso.2020.05.004","",20200529,,, 
"399829","The socio-economic implications of the coronavirus pandemic (COVID-19): A review.","Nicola, Maria; Alsafi, Zaid; Sohrabi, Catrin; Kerwan, Ahmed; Al-Jabir, Ahmed; Iosifidis, Christos; Agha, Maliha; Agha, Riaz","Int J Surg;78: 185-193, 2020 Jun. ","Int J Surg","MEDLINE","article","en","2020","Coronavirus Infections; Pandemics; Pneumonia, Viral; Socioeconomic Factors; Betacoronavirus; Commerce; Coronavirus; Coronavirus Infections/economics; Coronavirus Infections/epidemiology; Employment; Food Supply; Humans; Pandemics/economics; Pneumonia, Viral/economics; Pneumonia, Viral/epidemiology","GB","https://dx.doi.org/10.1016/j.ijsu.2020.04.018","The COVID-19 pandemic has resulted in over 4.3 million confirmed cases and over 290,000 deaths globally. It has also sparked fears of an impending economic crisis and recession. Social distancing, self-isolation and travel restrictions have lead to a reduced workforce across all economic sectors and caused many jobs to be lost. Schools have closed down, and the need for commodities and manufactured products has decreased. In contrast, the need for medical supplies has significantly increased. The food sector is also facing increased demand due to panic-buying and stockpiling of food products. In response to this global outbreak, we summarise the socio-economic effects of COVID-19 on individual aspects of the world economy.",20200529,78,, 
"380006","Erratum: COVID-19, Australia: Epidemiology Report 15 (Reporting week to 23:59 AEST 3 May 2020).","","Commun Dis Intell (2018);442020 May 15. ","","MEDLINE","article","en","2020","","AU","https://dx.doi.org/10.33321/cdi.2020.44.44","An error in data processing resulted in the tabulation of incorrect crude case fatality rate values, for age groups of 50-59 and above, in Table 5 (Crude Case Fatality Rate of all cases and hospitalised cases, by age group) as originally published in the COVID-19 (Australia) epidemiology report 14. The table below provides the corrected values.",20200527,44,, 
"379624","Epidemiology and clinical features of emergency department patients with suspected COVID-19: Initial results from the COVID-19 Emergency Department Quality Improvement Project (COVED-1).","O&#039;Reilly, Gerard M; Mitchell, Rob D; Rajiv, Prithi; Wu, Jamin; Brennecke, Helen; Brichko, Lisa; Noonan, Michael P; Hiller, Ryan; Mitra, Biswadev; Luckhoff, Carl; Paton, Andrew; Smit, De Villiers; Santamaria, Mark J; Cameron, Peter A","Emerg Med Australas;2020 May 07. ","Emerg. med Australas","MEDLINE","article","en","2020","","AU","https://dx.doi.org/10.1111/1742-6723.13540","OBJECTIVE: The COVID-19 Emergency Department (COVED) Quality Improvement Project aims to provide regular and real-time clinical information to ED clinicians caring for patients with suspected and confirmed COVID-19. The present study summarises data from the first 2 weeks of the study. METHODS: COVED is an ongoing prospective cohort study that commenced on 1 April 2020. It includes all adult patients presenting to a participating ED who undergo testing for SARS-CoV-2. Data are collected prospectively and entered into a bespoke registry. Outcomes include a positive SARS-CoV-2 polymerase chain reaction test result and requirement for intensive respiratory support. RESULTS: In the period 1-14 April 2020, 240 (16%) of 1508 patients presenting to The Alfred Emergency and Trauma Centre met inclusion criteria. Of these, 11 (5%) tested positive for SARS-CoV-2. The mean age of patients was 60 years and the commonest symptoms were acute shortness of breath (n = 122 [67%]), cough (n = 108 [56%]) or fever (n = 98 [51%]). Overseas travel or known contact with a confirmed case was reported by 24 (14%) and 16 (10%) patients, respectively. Fever or hypoxia was recorded in 23 (10%) and 11 (5%) patients, respectively. Eleven (5%) patients received mechanical ventilation in the ED, of whom none tested positive for SARS-CoV-2. CONCLUSIONS: Among patients presenting to a tertiary ED with suspected COVID-19, only a small proportion tested positive for SARS-CoV-2. Although the low incidence of positive cases currently precludes the development of predictive tools, the COVED Project demonstrates that the rapid establishment of an agile clinical registry for emergency care is feasible.",20200527,,, 
"379176","Prolonged fecal shedding of SARS-CoV-2 in pediatric patients. A quantitative evidence synthesis.","Santos, Victor Santana; Gurgel, Ricardo Queiroz; Cuevas, Luis Eduardo; Martins-Filho, Paulo Ricardo","J Pediatr Gastroenterol Nutr;2020 May 22. ","J. pediatr. gastroenterol. nutr","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1097/MPG.0000000000002798","OBJECTIVE: To investigate differences in viral shedding in respiratory and fecal samples from children with COVID-19. METHODS: We searched PubMed, SCOPUS, Embase and Web of Science databases to identify pediatric studies comparing the pattern of fecal and respiratory shedding of SARS-CoV-2 RNA. Summary estimates were calculated using random-effects models. RESULTS: Four studies reporting data from 36 children were included. A higher proportion of children had viral shedding in stools after 14 days of symptoms onset compared to respiratory samples (RR= 3.2, 95%CI 1.2 to 8.9, I2 = 51%). Viral RNA shedding was longer in fecal samples with a mean difference of approximately 9 days (Mean Difference = 8.6, 95%CI 1.7 to 15.4, I2â=â77%) compared with respiratory samples. CONCLUSION: SARS-CoV-2 shedding seems to be present in feces for a longer time than in the respiratory tract of children. Although fecal SARS-CoV-2 presence in feces do not confirm its transmissibility, the high and fast spread of the COVID-19 disease worldwide indicate other transmission routes are also plausible.",20200527,,, 
"378938","Low rate of severe acute respiratory syndrome coronavirus 2 spread among health-care personnel using ordinary personal protection equipment in a medium-incidence setting.","Durante-Mangoni, E; Andini, R; Bertolino, L; Mele, F; Bernardo, M; Grimaldi, M; Cuomo, N; Tiberio, C; Falco, E; Di Spirito, A; Raffone, M; Russo, M G; Atripaldi, L; Zampino, R","Clin Microbiol Infect;2020 May 01. ","Clin. microbiol. infect","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1016/j.cmi.2020.04.042","",20200527,,, 
"377989","Laparoscopy at all costs? Not now during COVID-19 outbreak and not for acute care surgery and emergency colorectal surgery: A practical algorithm from a hub tertiary teaching hospital in Northern Lombardy, Italy.","Di Saverio, Salomone; Khan, Mansoor; Pata, Francesco; Ietto, Giuseppe; De Simone, Belinda; Zani, Elia; Carcano, Giulio","J Trauma Acute Care Surg;88(6): 715-718, 2020 06. ","J Trauma Acute Care Surg","MEDLINE","article","en","2020","Algorithms; Betacoronavirus; Coronavirus Infections/complications; Digestive System Surgical Procedures; Laparoscopy; Patient Selection; Pneumonia, Viral/complications; Coronavirus Infections/therapy; Humans; Italy; Pandemics; Pneumonia, Viral/therapy","US","https://dx.doi.org/10.1097/TA.0000000000002727","",20200527,88,6, 
"342897","It is time for computable evidence synthesis: The COVID-19 Knowledge Accelerator Initiative.","Richardson, Joshua E; Alper, Brian S; Lehmann, Harold P; Subbian, Vignesh","J Am Med Inform Assoc;2020 May 22. ","J. am. med. inform. assoc","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.1093/jamia/ocaa114","",20200525,,, 
"326480","Erratum: Syndromic Surveillance System for MERS-CoV as New Early Warning and Identification Approach [Corrigendum].","","Risk Manag Healthc Policy;13: 163, 2020. ","Risk Manag Healthc Policy","MEDLINE","article","en","2020","","GB","https://dx.doi.org/10.2147/RMHP.S249636","[This corrects the article DOI: 10.2147/RMHP.S239984.].",20200522,13,, 
"325011","Overzealous hand hygiene during the COVID 19 pandemic causing an increased incidence of hand eczema among general population.","Singh, Mehak; Pawar, Manoj; Bothra, Atul; Choudhary, Nishant","J Am Acad Dermatol;83(1): e37-e41, 2020 07. ","J Am Acad Dermatol","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1016/j.jaad.2020.04.047","",20200521,83,1, 
"32420929","Screening of COVID-19 in children admitted to the hospital for acute problems: preliminary data.","Nicoletti, Angela; Talarico, Valentina; Sabetta, Lucilla; Minchella, Pasquale; Colosimo, Manuela; Fortugno, Carmelo; Galati, Maria Concetta; Raiola, Giuseppe","Acta Biomed;91(2): 75-79, 2020 May 11. ","Acta Biomed","MEDLINE","article","en","2020","Betacoronavirus; Coronavirus Infections/diagnosis; Patient Admission; Pneumonia, Viral/diagnosis; Acute Disease; Adolescent; Child; Child, Preschool; Coronavirus Infections/complications; Emergency Service, Hospital; Female; Gastrointestinal Diseases/virology; Humans; Infant; Infant, Newborn; Male; Pandemics; Pneumonia, Viral/complications; Triage","IT","https://dx.doi.org/10.23750/abm.v91i2.9607","BACKGROUND: The new Coronavirus identified in Whuan at the end of 2019 (SARS-CoV-2) belongs to the Beta Coronavirus genus and is responsible for the new Coronavirus 2019 pandemia (COVID-19). Infected children may be asymptomatic or present fever, dry cough, fatigue or gastrointestinal symptoms. The CDC recommends that clinicians should decide to test patients based on the presence of signs and symptoms compatible with COVID-19. MATERIAL AND METHODS: 42 children (the majority &lt; 5 years of age) were referred, to our Pediatric Department, as possible cases of COVID-19 infection. Blood analysis, chest X-ray, and naso-oropharyngeal swab specimens for viral identification of COVID-19 were requested. RESULTS: None of the screened children resulted positive for COVID-19 infection. At first presentation, the most frequent signs and symptoms were: fever (71.4%), fatigue (35.7%) and cough (30.9%).  An  high  C-reactive protein value and abnormalities of chest  X-ray (bronchial wall thickening) were detected in 26.2% and 19% of patients, respectively. Almost half of patients (45.2%) required hospitalization in our Pediatric Unit and one patient in Intensive Care Unit. CONCLUSIONS: Testing people who meet the COVID-19 suspected case definition criteria is essential for clinical management and outbreak control. Children of all ages can get COVID-19, although they appear to be affected less frequently than adults, as reported in our preliminary survey. Further studies are needed to confirm our observations.",20200521,91,2, 
"306628","COVID-19 for the Cardiologist: A Current Review of the Virology, Clinical Epidemiology, Cardiac and Other Clinical Manifestations and Potential Therapeutic Strategies.","Atri, Deepak; Siddiqi, Hasan K; Lang, Joshua; Nauffal, Victor; Morrow, David A; Bohula, Erin A","JACC Basic Transl Sci;2020 Apr 10. ","","MEDLINE","article","en","2020","","US","https://dx.doi.org/10.1016/j.jacbts.2020.04.002","The coronavirus disease-2019 (COVID-19), a contagious disease caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV2), has reached pandemic status. As it spreads across the world, it has overwhelmed healthcare systems, strangled the global economy and led to a devastating loss of life. Widespread efforts from regulators, clinicians and scientists are driving a rapid expansion of knowledge of the SARS-CoV2 virus and the COVID-19 disease. We review the most current data with a focus on our basic understanding of the mechanism(s) of disease and translation to the clinical syndrome and potential therapeutics. We discuss the basic virology, epidemiology, clinical manifestation, multi-organ consequences, and outcomes. With a focus on cardiovascular complications, we propose several mechanisms of injury. The virology and potential mechanism of injury form the basis for a discussion of potential disease-modifying therapies.",20200520,,, 
"32418508","Erratum: COVID-19, Australia: Epidemiology Report 15 (Reporting week to 23:59 AEST 3 May 2020).","","Commun Dis Intell (2018);442020 May 15. ","","MEDLINE","article","en","2020","","AU","https://dx.doi.org/10.33321/cdi.2020.44.44","An error in data processing resulted in the tabulation of incorrect crude case fatality rate values, for age groups of 50-59 and above, in Table 5 (Crude Case Fatality Rate of all cases and hospitalised cases, by age group) as originally published in the COVID-19 (Australia) epidemiology report 14. The table below provides the corrected values.",20200520,44,, 
